Word,Age of Acquisition Rating,Familiarity,Concreteness,Imageability,Meaningfulness: Coloradao Norms,Meaningfulness: Pavio Norms,AoA_Count,Familiarity_Count,Concreteness_Count,Imageability_Count,Meaningfulness_Colorado_Count,Meaningfulness_Paivio_Count,AoA_Std,Familiarity_Std,Concreteness_Std,Imageability_Std,Meaningfulness_Colorado_Std,Meaningfulness_Paivio_Std,AoA_Range,Familiarity_Range,Concreteness_Range,Imageability_Range,Meaningfulness_Colorado_Range,Meaningfulness_Paivio_Range,Source_Count,Source_Row_Count,Source_Words,Review_Required,Review_Reasons
bestellung,344.0,570.0,344.0,352.0,397.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,ORDER,no,
bestie,319.0,456.0,564.0,558.0,,608.0,2,2,2,2,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,2,BEAST,no,
bestimmung,508.0,453.0,432.0,343.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,PROVISION,no,
bestrafen,,536.0,344.0,474.0,519.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,PUNISH,no,
bestrafung,342.0,515.0,358.0,418.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,PUNISHMENT,no,
bestätigen,,444.0,,281.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,AFFIRM,no,
bestätigung,583.0,332.0,242.0,313.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,AFFIRMATION,no,
besucher,311.0,560.0,482.0,499.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,VISITOR,no,
bete,,528.0,372.0,444.0,403.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,PRAY,no,
beteiligt,,586.0,,363.0,,,0,4,0,4,0,0,,0.0,,0.0,,,,0,,0.0,,,1,4,INVOLVED,no,
betel,,129.0,320.0,238.0,200.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BETEL,no,
beton,,528.0,562.0,564.0,427.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,CONCRETE,no,
betrag,392.0,583.0,335.0,316.0,,584.0,2,2,2,2,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,2,AMOUNT,no,
betreff,417.0,590.0,406.0,418.0,,,5,5,5,5,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,5,SUBJECT,no,
betriebsbereit,,609.0,383.0,458.0,534.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,WORKING,no,
betrug,519.0,515.0,320.6667,431.6667,434.0,,1,3,3,3,3,0,,48.0833,11.7851,35.8267,16.9706,,0.0,102,25.0,76.0,36.0,,2,3,CHEAT;FRAUD,yes,multiple_english_sources
bett,169.0,636.0,635.0,635.0,545.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,BED,no,
bettler,364.0,435.0,533.0,593.0,472.0,650.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2,BEGGAR,no,
beute,447.5,455.6667,458.3333,495.0,435.6667,,4,6,6,6,6,0,8.5,11.0855,70.7405,70.7154,10.2089,,17.0,27,173.0,173.0,25.0,,3,6,HAUL;LOOT;PREY,yes,high_concreteness_range;high_imageability_range;multiple_english_sources
beutel,367.0,373.0,568.0,513.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,POUCH,no,
bevollmächtigter,697.0,128.0,351.0,129.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,PLENIPOTENTIARY,no,
bevölkerung,469.0,543.0,406.0,391.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,POPULATION,no,
bewegen,,572.0,390.0,413.0,428.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,MOVE,no,
beweglichkeit,,397.0,327.0,464.0,,575.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,AGILITY,no,
beweis,465.6,529.2,332.8,345.8,413.0,620.0,5,5,5,5,3,2,11.7576,20.5757,5.8788,8.3283,0.0,0.0,24.0,42,12.0,17.0,0.0,0.0,2,5,EVIDENCE;PROOF,yes,multiple_english_sources
bewerten,,459.0,279.0,306.0,382.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,APPRAISE,no,
bewertung,,478.0,309.0,310.0,,512.0,0,3,3,3,0,3,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,3,RATING,no,
bewohner,,432.0,516.0,448.0,,509.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,DWELLER,no,
bewundern,,531.0,296.0,390.0,457.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,ADMIRE,no,
bewusst,,554.3333,,316.6667,,,0,3,0,3,0,0,,11.7851,,26.3987,,,,25,,56.0,,,2,3,AWARE;CONSCIOUS,yes,multiple_english_sources
bewältigen,,516.0,347.0,344.0,423.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,COPE,no,
bewässerung,564.0,399.0,452.0,456.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,IRRIGATION,no,
bezahlt,,577.0,386.0,429.0,487.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,PAID,no,
beziehung,375.0,585.0,383.0,451.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,RELATION,no,
bh,,539.0,610.5,629.5,515.0,475.0,0,2,2,2,1,1,,36.0,18.5,5.5,,,,72,37.0,11.0,0.0,0.0,2,2,BRA;BRASSIERE,yes,multiple_english_sources
bhang,,116.0,316.0,217.0,185.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BHANG,no,
bib,,380.0,548.0,488.0,357.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BIB,no,
bibel,,496.0,585.0,594.0,489.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BIBLE,no,
biber,,470.0,589.0,612.0,412.0,819.0,0,3,3,3,3,3,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,3,BEAVER,no,
bibliothek,,580.0,564.0,587.0,453.0,640.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,LIBRARY,no,
biegsam,,411.0,377.0,364.0,335.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,PLIABLE,no,
biegung,,510.0,,460.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,BEND,no,
biene,,554.0,597.0,623.0,441.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BEE,no,
bienenstock,327.3333,390.0,592.3333,560.0,,,3,3,3,3,0,0,11.7851,5.6569,13.1993,8.4853,,,25.0,12,28.0,18.0,,,2,3,BEEHIVE;HIVE,yes,multiple_english_sources
bier,,406.6667,525.3333,472.6667,370.6667,,0,3,3,3,3,0,,183.5235,80.9293,129.7108,93.2428,,,442,176.0,304.0,218.0,,3,3,ALE;BEER;BIER,yes,high_concreteness_range;high_concreteness_std;high_familiarity_range;high_familiarity_std;high_imageability_range;high_imageability_std;high_meaningfulness_colorado_range;high_meaningfulness_colorado_std;multiple_english_sources
bild,219.0,597.0,579.0,581.0,,716.0,2,2,2,2,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,2,PICTURE,no,
bildung,408.0,528.0,350.5,412.5,,492.0,1,2,2,2,0,1,,57.0,30.5,3.5,,,0.0,114,61.0,7.0,,0.0,2,2,EDUCATION;FORMATION,yes,multiple_english_sources
binsenweisheit,,398.0,276.0,292.0,310.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,TRUISM,no,
biologie,,526.0,400.0,441.0,469.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BIOLOGY,no,
birke,,518.0,620.0,561.0,448.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BIRCH,no,
birne,,567.0,634.0,590.0,494.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,PEAR,no,
bis,,442.0,365.0,364.0,353.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,TILL,no,
bischof,,467.0,587.0,524.0,437.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BISHOP,no,
bison,,298.0,,541.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,BISON,no,
biss,214.0,593.0,509.0,553.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,BITE,no,
bisschen,,594.0,378.0,502.0,546.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,LITTLE,no,
bit,,460.0,392.0,432.0,392.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,BIT,no,
bitter,,526.0,409.0,457.0,432.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,BITTER,no,
bitterkeit,497.0,430.0,270.0,378.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,BITTERNESS,no,
bittgebet,,236.0,324.0,326.0,,404.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,SUPPLICATION,no,
biwak,,154.0,487.0,370.0,,536.0,0,2,2,2,0,2,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,2,BIVOUAC,no,
blase,272.0,508.0,563.0,604.0,415.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,BUBBLE,no,
blass,,499.0,385.0,532.0,423.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,PALE,no,
blatt,251.0,580.0,599.0,602.4,437.0,,2,5,5,5,3,0,0.0,29.3939,7.3485,6.8586,0.0,,0.0,60,15.0,14.0,0.0,,2,5,LEAF;SHEET,yes,multiple_english_sources
blau,,593.0,459.0,569.0,446.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,BLUE,no,
blei,400.0,526.0,543.0,488.0,400.0,,4,4,4,4,4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,4,LEAD,no,
bleiben,,573.0,329.0,321.0,369.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,STAY,no,
bleichmittel,,549.0,544.0,510.0,387.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,BLEACH,no,
bleistift,225.0,598.0,617.0,607.0,449.0,648.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2,PENCIL,no,
blende,639.0,356.0,467.0,424.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,APERTURE,no,
blendung,444.0,458.0,439.0,536.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,GLARE,no,
blick,,514.0,402.0,426.0,426.0,,0,4,4,4,4,0,,45.0,9.0,20.0,64.0,,,90,18.0,40.0,128.0,,2,4,PEEK;SIGHT,yes,multiple_english_sources
blies,,533.0,367.0,404.0,415.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BLEW,no,
blind,,531.0,443.0,485.0,417.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,BLIND,no,
blinken,,450.0,,471.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,BLINK,no,
blister,,462.0,573.0,616.0,,713.0,0,2,2,2,0,2,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,2,BLISTER,no,
blitz,318.25,498.0,491.25,545.75,469.0,,4,4,4,4,3,0,7.3612,19.0526,19.4856,30.7439,0.0,,17.0,44,45.0,71.0,0.0,,2,4,FLASH;LIGHTNING,yes,multiple_english_sources
block,244.0,544.0,558.0,483.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,BLOCK,no,
blond,,563.0,502.0,608.0,463.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BLONDE,no,
blume,,566.0,584.0,618.0,529.0,713.0,0,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,2,FLOWER,no,
blumenkohl,,462.0,642.0,567.0,390.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,CAULIFLOWER,no,
blumenstrauß,,473.0,566.0,599.0,423.0,576.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,BOUQUET,no,
bluse,,562.0,640.0,595.0,530.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BLOUSE,no,
blut,370.6,471.4,547.0,543.6,467.0,613.6,5,5,5,5,3,5,144.03,121.9846,80.8332,93.5705,0.0,51.9292,294.0,249,165.0,191.0,0.0,106.0,2,5,BLOOD;GORE,yes,high_aoa_range;high_aoa_std;high_concreteness_range;high_concreteness_std;high_familiarity_range;high_familiarity_std;high_imageability_range;high_imageability_std;multiple_english_sources
blutbad,628.0,298.0,376.0,351.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,CARNAGE,no,
blödmann,,303.0,481.0,348.0,275.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,LOON,no,
blüte,403.0,466.5,539.5,571.0,493.0,636.0,2,4,4,4,2,4,0.0,40.5,19.5,47.0,0.0,124.0,0.0,81,39.0,94.0,0.0,248.0,2,4,BLOOM;BLOSSOM,yes,high_meaningfulness_paivio_range;high_meaningfulness_paivio_std;multiple_english_sources
blütenblatt,,466.0,586.0,508.0,397.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,PETAL,no,
boden,283.4286,556.0,563.3333,531.6667,434.4444,800.0,7,9,9,9,9,2,40.2061,23.2618,9.4516,22.1209,17.5063,0.0,89.0,58,23.0,53.0,46.0,0.0,3,9,FLOOR;GROUND;SOIL,yes,multiple_english_sources
bogen,312.1429,475.25,536.875,543.625,408.5,,7,8,8,8,8,0,47.5077,29.7058,37.3009,19.4354,39.5759,,96.0,92,101.0,63.0,85.0,,3,8,ARC;ARCH;BOW,yes,multiple_english_sources
bogenschießen,433.0,351.0,470.0,550.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,ARCHERY,no,
bohne,,549.0,604.0,538.0,371.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BEAN,no,
bohrer,,473.0,516.0,571.0,370.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,DRILL,no,
bohrung,,543.0,344.0,404.0,430.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,BORE,no,
boll,,210.0,350.0,270.0,187.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BOLL,no,
bombe,,566.0,595.0,606.0,497.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BOMB,no,
bonus,,539.0,,397.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,BONUS,no,
boot,251.0,575.0,616.0,617.5,491.0,,2,4,4,4,4,0,0.0,9.0,21.0,13.5,51.0,,0.0,18,42.0,27.0,102.0,,2,4,BOAT;BOOT,yes,multiple_english_sources
bootfahren,,519.0,494.0,533.0,460.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,BOATING,no,
bordstein,,526.0,577.0,556.0,403.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,CURB,no,
borste,383.0,461.0,558.0,562.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,BRISTLE,no,
boshaf,,419.0,,334.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,SPITEFUL,no,
botanik,,459.0,444.0,410.0,435.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BOTANY,no,
bote,383.0,491.0,527.0,505.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,MESSENGER,no,
botschafter,,477.0,546.0,545.0,392.0,522.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,AMBASSADOR,no,
bourbon,,531.0,570.0,606.0,465.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BOURBON,no,
boxer,656.0,189.0,419.0,264.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,PUGILIST,no,
brandy,,542.0,595.0,590.0,519.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BRANDY,no,
braten,,536.0,,,,,0,4,0,0,0,0,,0.0,,,,,,0,,,,,1,4,ROAST,no,
brei,,481.0,418.0,472.0,382.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,MASH,no,
breit,,546.0,373.5,459.0,496.0,,0,6,6,6,6,0,,23.0,25.5,4.0,24.0,,,46,51.0,8.0,48.0,,2,6,BROAD;WIDE,yes,multiple_english_sources
bremse,,551.0,526.0,511.0,437.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,BRAKE,no,
brennen,217.0,548.0,490.0,541.0,400.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,BURN,no,
brenner,,518.0,500.0,488.0,377.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BURNER,no,
brennholz,331.0,444.0,629.0,586.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,FIREWOOD,no,
brett,,514.5,578.5,595.0,389.0,656.0,0,4,4,4,2,4,,31.5,13.5,3.0,0.0,36.0,,63,27.0,6.0,0.0,72.0,2,4,BOARD;PLANK,yes,multiple_english_sources
brief,256.0,480.8,546.6,531.8,433.0,582.8,3,5,5,5,3,5,0.0,158.237,37.2322,77.4039,0.0,16.1666,0.0,323,76.0,158.0,0.0,33.0,2,5,EPISTLE;LETTER,yes,high_familiarity_range;high_familiarity_std;high_imageability_range;high_imageability_std;multiple_english_sources
brise,351.0,511.0,500.0,560.0,,733.0,2,2,2,2,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,2,BREEZE,no,
brokat,592.0,298.0,540.0,416.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,BROCADE,no,
brombeere,,295.0,378.0,377.0,298.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BRAMBLE,no,
bronze,,398.0,568.0,588.0,,619.0,0,3,3,3,0,3,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,3,BRONZE,no,
broschüre,,433.0,570.0,534.0,,492.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,LEAFLET,no,
brot,,611.0,622.0,619.0,484.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,BREAD,no,
brownie,381.0,386.0,535.0,553.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,BROWNIE,no,
bruder,219.0,598.0,585.0,589.0,569.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,BROTHER,no,
bruderschaft,,510.0,429.0,508.0,407.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,FRATERNITY,no,
brunnen,389.0,469.0,593.0,602.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,FOUNTAIN,no,
brust,,549.0,580.0,576.5,475.5,581.0,0,4,4,4,4,2,,6.0,0.0,20.5,22.5,0.0,,12,0.0,41.0,45.0,0.0,2,4,BREAST;CHEST,yes,multiple_english_sources
bruststück,,364.0,456.0,370.0,292.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BRISKET,no,
brut,,343.0,430.0,392.0,356.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BRUT,no,
brutal,,446.0,402.0,427.0,467.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BRUTAL,no,
brutalität,,454.0,344.0,489.0,,506.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,BRUTALITY,no,
brute,,430.0,462.0,481.0,422.0,608.0,0,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,2,BRUTE,no,
brücke,289.0,561.0,623.0,608.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,BRIDGE,no,
brüderlich,,416.0,349.0,376.0,355.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,FRATERNAL,no,
brüllaffe,478.0,359.0,366.0,353.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,HOWLER,no,
brüllen,278.0,471.0,437.0,526.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,ROAR,no,
brüskierung,522.0,386.0,280.0,348.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,SNUB,no,
bubal,,79.0,258.0,233.0,174.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,BUBAL,no,
buch,214.0,643.0,609.0,591.0,582.0,768.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2,BOOK,no,
buche,,374.0,446.0,435.0,290.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BEECH,no,
bucht,336.0,474.0,580.0,570.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,BAY,no,
buckel,369.0,439.0,507.0,515.0,433.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,HUMP,no,
budget,497.0,517.0,366.0,394.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,BUDGET,no,
bug,583.0,252.0,485.0,307.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,PROW,no,
bulldogge,394.0,370.0,626.0,583.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,BULLDOG,no,
bump,,541.0,525.0,476.0,421.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,BUMP,no,
bungalow,,421.0,564.0,543.0,425.0,548.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,BUNGALOW,no,
burg,,415.0,,,,,0,2,0,0,0,0,,0.0,,,,,,0,,,,,1,2,CASTLE,no,
burggraben,,443.0,509.0,497.0,312.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,MOAT,no,
busch,256.0,532.0,585.0,549.0,382.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,BUSH,no,
busen,489.0,425.0,552.0,593.0,,550.0,3,3,3,3,0,3,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,3,BOSOM,no,
butler,,425.0,,543.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,BUTLER,no,
butter,206.0,615.0,618.0,603.0,466.0,691.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2,BUTTER,no,
butyl,,147.0,321.0,269.0,193.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BUTYL,no,
bär,,526.0,585.0,572.0,408.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BEAR,no,
bösartig,,440.0,,441.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,VICIOUS,no,
böse,,538.0,,434.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,EVIL,no,
böswillig,,406.0,,397.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,MALICIOUS,no,
böswilligkeit,,354.0,248.0,365.0,,456.0,0,2,2,2,0,2,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,2,MALICE,no,
bündel,421.0,428.5,465.5,428.0,448.0,,4,4,4,4,2,0,104.0,74.5,13.5,58.0,0.0,,208.0,149,27.0,116.0,0.0,,2,4,BUNCH;WAD,yes,high_aoa_range;high_aoa_std;multiple_english_sources
bündig,,507.0,447.0,530.0,382.0,,0,4,4,4,4,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,4,FLUSH,no,
bürger,,374.2,455.0,393.8,473.0,,0,5,3,5,3,0,,196.939,0.0,62.7069,0.0,,,402,0.0,128.0,0.0,,2,5,BURGHER;CITIZEN,yes,high_familiarity_range;high_familiarity_std;multiple_english_sources
bürgermeister,436.0,443.0,507.0,523.0,393.0,,1,1,1,1,1,0,,,,,,,0.0,0,0.0,0.0,0.0,,1,1,MAYOR,no,
büro,461.0,509.0,561.6667,511.0,425.0,,1,3,3,3,2,0,,80.6102,10.3709,9.8995,0.0,,0.0,171,22.0,21.0,0.0,,2,3,BUREAU;OFFICE,yes,high_familiarity_range;high_familiarity_std;multiple_english_sources
cache,614.0,259.0,459.0,303.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,CACHE,no,
